index,classify,Precursor has a methyltransferase domain,Precursor has a BBD domain,Precursor's Length,Best Boro MT length,Precursor is best Boro MT,Best BBD length,Precursor is best BBD,MT & BBD fused,MT & GGDEF fused,Nearby PF00590 domain,Nearby BoroMT hmm hit,Nearby NMT_1 (DCLFAD) hmm hit,Nearby NMT_2 (YGHP) hmm hit,Nearby PF03819 (MazG) or PF12643 (MazG-like) domain,Best BoroMT score [-log(e-value)],BoroMT score >= 40,BoroMT score >= 30,BoroMT score <= 25,BoroMT score <=15,Best BoroMT hit's PF00590 (TP methyltransferase) score [-log(e-value)],BoroMT hit's PF00590 score >= 35,BoroMT hit's PF00590 score >= 25,Best BoroMT hit's PF03819 (MazG) score [-log(e-value)],BoroMT hit's PF03819 (MazG) score >= 35,BoroMT hit's PF03819 (MazG) score >= 25,BoroMT hit's PF03819 (MazG) score >= 15,BoroMT hit's PF03819 (MazG) score >= 5,Nearby PF07746 (LigA),Nearby BBD hmm hit,PF07746 (LigA) score [-log(e-value)],BBD_A score [-log(e-value)],BBD_B score [-log(e-value)],BBD_old score [-log(e-value)],Precursor within 100 nucleotides of a MT,Precursor within 200 nucleotides of a MT,Precursor within 1000 nucleotides of a MT,Precursor is farther than 3000 nucleotides from a MT,Precursor & MT on same strand,Both BBD and PF00590 domains nearby,Nearby GGDEF,Nearby acetyltransferase,Nearby peptidase,Nearby legionellales hmm hit,Nearby type VI/VII/VIII hmm hit,precursor has a PF00590 (TP methyltransferase) domain,precursors hits the BoroMT hmm,precursor hits the NMT_1 hmm,precursor hits the NMT_2 hmm,precursor has a LigA-like domain (PF07746),precursor hits BBD_A hmm,precursor hits BBD_B hmm,precursor hits BBD_old hmm,precursor hits a legionellales hmm,precursor hits type VI/VII/VIII hmm,precursor hits MT & BBD hmm,precursor hits MT hmm and nearby type 6-8 hmm hit,precursor hits a legionellales & BBD hmm,precursor hits type VI/VII/VIII & BBD hmm,precursor hits a legionellales & MT hmm,precursor hits type VI/VII/VIII & MT hmm,precursor is > 900 AA & hits a BBD hmm,precursor is > 700 AA & hits a BBD hmm,precursor is < 400 AA & hits a BBD hmm,precursor is < 250 AA & hits a BBD hmm,precursor is < 100 AA and hits a BBD hmm,precursor is < 400 AA and hits the type VI/VII/VIII hmm,precursor is < 100 AA and hits a legionellales hmm,FIMO motif 1 present,motif 2,motif 3,motif 4,motif 5,motif 6,motif 7,motif 8,motif 9,motif 10,motif 11,motif 12,motif 13,motif 14,motif 15,motif 16,motif 17,motif 18,motif 19,motif 20,motif 21,motif 22,motif 23,motif 24,motif 25,motif 26,motif 27,Number of motifs present,Occurances of motif 1,motif 2,motif 3,motif 4,motif 5,motif 6,motif 7,motif 8,motif 9,motif 10,motif 11,motif 12,motif 13,motif 14,motif 15,motif 16,motif 17,motif 18,motif 19,motif 20,motif 21,motif 22,motif 23,motif 24,motif 25,motif 26,motif 27,No Motifs,MT distance,core charge,precursor charge,abs(core charge),abs(precursor charge),CORE COUNT A,R,D,N,C,Q,E,G,H,I,L,K,M,F,P,S,T,W,Y,V,PERCENT A,R,D,N,C,Q,E,G,H,I,L,K,M,F,P,S,T,W,Y,V,aromatics,neg,pos,charged,aliphatic,hydroxyl,isoelectric point,PRECURSOR count A,R,D,N,C,Q,E,G,H,I,L,K,M,F,P,S,T,W,Y,V,PERCENT A,R,D,N,C,Q,E,G,H,I,L,K,M,F,P,S,T,W,Y,V,aromatics,neg,pos,charged,aliphatic,hydroxyl,isoelectric point
1,1,1,1,855,295,0,295,0,1,0,1,1,1,1,0,60.33724217,1,1,0,0,5.167491087,0,0,0,0,0,0,0,0,1,0,10.85387196,0,9.958607315,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,47,2,1,0,0,1,0,1,0,0,0,0,0,36,0,0,0,0,0,0,1,2,0,0,0,1,1,1,0,273,-1,-26,1,26,12,5,9,7,0,9,3,7,0,7,9,6,0,4,7,11,7,2,5,10,0.1,0.041666667,0.075,0.058333333,0,0.075,0.025,0.058333333,0,0.058333333,0.075,0.05,0,0.033333333,0.058333333,0.091666667,0.058333333,0.016666667,0.041666667,0.083333333,11,12,11,23,45,18,5.229892159,112,33,76,49,3,43,36,57,15,49,59,38,12,30,54,53,49,9,29,49,0.130994152,0.038596491,0.088888889,0.057309942,0.003508772,0.050292398,0.042105263,0.066666667,0.01754386,0.057309942,0.069005848,0.044444444,0.014035088,0.035087719,0.063157895,0.061988304,0.057309942,0.010526316,0.033918129,0.057309942,68,112,71,183,338,102,4.703676796
2,1,1,1,343,466,0,385,1,1,0,1,1,1,1,0,90.88605665,1,1,0,0,18.1079054,0,0,0,0,0,0,0,0,1,0,0,7.408935393,11.61978876,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,9,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,-7,-6,7,6,16,8,8,4,0,2,15,8,0,4,8,8,4,5,4,6,2,0,2,16,0.133333333,0.066666667,0.066666667,0.033333333,0,0.016666667,0.125,0.066666667,0,0.033333333,0.066666667,0.066666667,0.033333333,0.041666667,0.033333333,0.05,0.016666667,0,0.016666667,0.133333333,7,23,16,39,56,8,4.693275261,35,18,23,11,2,5,26,20,4,21,25,21,15,14,20,24,14,2,12,31,0.102040816,0.052478134,0.067055394,0.032069971,0.005830904,0.014577259,0.075801749,0.058309038,0.011661808,0.06122449,0.072886297,0.06122449,0.043731778,0.040816327,0.058309038,0.069970845,0.040816327,0.005830904,0.034985423,0.090379009,28,49,39,88,147,38,5.113485909
3,1,1,1,299,318,1,318,1,1,0,1,1,1,1,0,59.31875876,1,1,0,0,7.657577319,0,0,0,0,0,0,0,0,1,0,6.387216143,0,10.79588002,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,9,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,4,0,4,18,6,6,3,1,6,7,9,2,2,14,5,2,4,7,5,6,1,3,13,0.15,0.05,0.05,0.025,0.008333333,0.05,0.058333333,0.075,0.016666667,0.016666667,0.116666667,0.041666667,0.016666667,0.033333333,0.058333333,0.041666667,0.05,0.008333333,0.025,0.108333333,8,13,11,24,58,11,5.614635277,31,13,16,9,4,14,17,22,8,11,31,16,7,12,15,19,11,2,9,32,0.10367893,0.043478261,0.053511706,0.030100334,0.013377926,0.046822742,0.056856187,0.073578595,0.026755853,0.036789298,0.10367893,0.053511706,0.023411371,0.040133779,0.050167224,0.063545151,0.036789298,0.006688963,0.030100334,0.107023411,23,33,29,62,134,30,6.0744627
4,1,1,1,426,463,1,463,1,1,0,1,1,1,1,0,88.88605665,1,1,0,0,14.65757732,0,0,0,0,0,0,0,0,1,0,5.795880017,0,9.853871964,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,11,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,2,6,2,6,5,7,9,4,2,2,6,6,5,9,10,5,4,5,4,10,8,1,3,15,0.041666667,0.058333333,0.075,0.033333333,0.016666667,0.016666667,0.05,0.05,0.041666667,0.075,0.083333333,0.041666667,0.033333333,0.041666667,0.033333333,0.083333333,0.066666667,0.008333333,0.025,0.125,9,15,12,27,49,18,5.910482216,32,23,27,9,5,10,19,30,14,27,38,15,15,13,19,38,22,2,16,52,0.075117371,0.05399061,0.063380282,0.021126761,0.011737089,0.023474178,0.044600939,0.070422535,0.03286385,0.063380282,0.089201878,0.035211268,0.035211268,0.030516432,0.044600939,0.089201878,0.051643192,0.004694836,0.037558685,0.122065728,31,46,38,84,194,60,5.957260704
5,1,1,1,426,463,1,463,1,1,0,1,1,1,1,0,88.88605665,1,1,0,0,14.67778071,0,0,0,0,0,0,0,0,1,0,4.823908741,0,8.958607315,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,11,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,2,6,2,6,5,7,9,4,2,2,6,6,5,9,10,5,4,5,4,10,8,1,3,15,0.041666667,0.058333333,0.075,0.033333333,0.016666667,0.016666667,0.05,0.05,0.041666667,0.075,0.083333333,0.041666667,0.033333333,0.041666667,0.033333333,0.083333333,0.066666667,0.008333333,0.025,0.125,9,15,12,27,49,18,5.910482216,31,23,27,9,5,10,19,30,14,26,37,15,16,13,19,38,22,2,16,54,0.072769953,0.05399061,0.063380282,0.021126761,0.011737089,0.023474178,0.044600939,0.070422535,0.03286385,0.061032864,0.08685446,0.035211268,0.037558685,0.030516432,0.044600939,0.089201878,0.051643192,0.004694836,0.037558685,0.126760563,31,46,38,84,194,60,5.957260704
6,1,1,1,434,464,1,464,1,1,0,1,1,1,1,0,82.04575749,1,1,0,0,8.366531544,0,0,0,0,0,0,0,0,1,0,8.102372909,0,14.01322827,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,11,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,-1,0,1,0,6,7,10,6,3,3,6,6,4,8,8,4,3,8,9,6,7,1,2,13,0.05,0.058333333,0.083333333,0.05,0.025,0.025,0.05,0.05,0.033333333,0.066666667,0.066666667,0.033333333,0.025,0.066666667,0.075,0.05,0.058333333,0.008333333,0.016666667,0.108333333,11,16,11,27,44,13,5.20340519,38,20,27,14,7,8,28,28,11,26,38,24,11,19,21,35,26,2,16,35,0.087557604,0.046082949,0.062211982,0.032258065,0.016129032,0.01843318,0.064516129,0.064516129,0.025345622,0.059907834,0.087557604,0.055299539,0.025345622,0.043778802,0.048387097,0.080645161,0.059907834,0.004608295,0.036866359,0.080645161,37,55,44,99,176,61,5.539494133
7,1,1,1,389,446,1,446,1,1,0,1,1,1,1,0,93.27572413,1,1,0,0,21.05060999,0,0,0,0,0,0,0,0,1,0,5.638272164,0,6.677780705,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,9,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,3,3,3,3,11,6,5,4,1,1,13,8,3,3,16,12,1,2,12,2,8,1,5,6,0.091666667,0.05,0.041666667,0.033333333,0.008333333,0.008333333,0.108333333,0.066666667,0.025,0.025,0.133333333,0.1,0.008333333,0.016666667,0.1,0.016666667,0.066666667,0.008333333,0.041666667,0.05,8,18,18,36,45,10,7.011964989,33,17,20,11,5,9,30,26,12,24,43,24,5,13,26,20,24,1,20,26,0.084832905,0.043701799,0.051413882,0.028277635,0.01285347,0.023136247,0.077120823,0.066838046,0.030848329,0.061696658,0.110539846,0.061696658,0.01285347,0.033419023,0.066838046,0.051413882,0.061696658,0.002570694,0.051413882,0.066838046,34,50,41,91,157,44,5.785379601
8,1,1,1,394,434,1,434,1,1,0,1,1,1,1,0,85.69897,1,1,0,0,14.1426675,0,0,0,0,0,0,0,0,1,0,0,9.48148606,10.08092191,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,11,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,15,7,7,6,0,1,8,7,2,6,11,6,2,4,7,8,8,0,1,14,0.125,0.058333333,0.058333333,0.05,0,0.008333333,0.066666667,0.058333333,0.016666667,0.05,0.091666667,0.05,0.016666667,0.033333333,0.058333333,0.066666667,0.066666667,0,0.008333333,0.116666667,5,15,13,28,55,16,5.651069069,34,15,23,13,1,9,24,24,12,33,28,21,9,17,21,30,24,1,14,41,0.086294416,0.038071066,0.058375635,0.032994924,0.002538071,0.02284264,0.060913706,0.060913706,0.030456853,0.083756345,0.07106599,0.053299492,0.02284264,0.043147208,0.053299492,0.076142132,0.060913706,0.002538071,0.035532995,0.104060914,32,47,36,83,169,54,5.567913628
9,1,1,1,396,618,1,618,1,1,0,1,1,1,1,0,46.60205999,1,1,0,0,7.142667504,0,0,0,0,0,0,0,0,1,0,0,6.853871964,12.35654732,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,9,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,-3,5,3,5,8,7,9,1,0,1,9,11,2,2,16,6,3,2,10,7,7,0,4,15,0.066666667,0.058333333,0.075,0.008333333,0,0.008333333,0.075,0.091666667,0.016666667,0.016666667,0.133333333,0.05,0.025,0.016666667,0.083333333,0.058333333,0.058333333,0,0.033333333,0.125,6,18,13,31,55,14,4.954109383,31,23,23,9,8,10,24,24,7,20,39,22,8,21,20,27,23,2,11,44,0.078282828,0.058080808,0.058080808,0.022727273,0.02020202,0.025252525,0.060606061,0.060606061,0.017676768,0.050505051,0.098484848,0.055555556,0.02020202,0.053030303,0.050505051,0.068181818,0.058080808,0.005050505,0.027777778,0.111111111,34,47,45,92,166,50,6.415496635
10,1,1,1,411,448,1,448,1,1,0,1,1,1,1,0,90.74472749,1,1,0,0,18.26760624,0,0,0,0,0,0,0,0,1,0,0,6.251811973,9.22184875,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,12,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,0,0,1,1,1,1,8,5,6,4,1,3,7,9,4,8,11,5,2,4,6,10,8,1,4,14,0.066666667,0.041666667,0.05,0.033333333,0.008333333,0.025,0.058333333,0.075,0.033333333,0.066666667,0.091666667,0.041666667,0.016666667,0.033333333,0.05,0.083333333,0.066666667,0.008333333,0.033333333,0.116666667,9,13,10,23,52,18,5.737464333,44,11,19,10,4,14,27,27,16,30,34,20,11,13,19,34,28,3,15,32,0.107055961,0.02676399,0.04622871,0.0243309,0.00973236,0.03406326,0.065693431,0.065693431,0.03892944,0.072992701,0.082725061,0.0486618,0.02676399,0.03163017,0.04622871,0.082725061,0.068126521,0.00729927,0.03649635,0.077858881,31,46,31,77,178,62,5.489191628
